游戏名称,游戏URL,AppID,原价,折扣价,基本好评率,详细好评率,基本标签,详细标签,基本发布时间,详细发布日期,游戏描述,开发商,发行商
Spirit City: Lofi Sessions,https://store.steampowered.com/app/2113850/Spirit_City_Lofi_Sessions/?snr=1_7_7_7000_150_17,2113850,,,97.0,,[],[],2024-04-08,,未知,未知,未知
刀剑神域 碎梦边境,https://store.steampowered.com/app/1858630/_/?snr=1_7_7_7000_150_17,1858630,,,64.0,41.0,[],"['角色自定义', '动漫', '玩家对战环境', '大型多人在线角色扮演', '动作', '多人', '第三人称射击', '角色扮演', '单人', '剑术', '奇幻', '在线合作', '日系角色扮演', '动作角色扮演', '合作', '魔法', '休闲', '3D', '剧情丰富', '砍杀']",2024-10-03,2024-10-03,《刀剑神域》游戏10周年纪念作品第2弹登场。SAO系列作中担任各种职位的角色们将穿越记忆前来参战。这是一款与最多20名来自全世界的玩家们一同组队，迎战强大的敌人，体验在线多人共斗的动作游戏。穿越记忆——上吧，“切换”！,未知,Bandai Namco Entertainment
狂野星球复仇记 / Revenge of the Savage Planet,https://store.steampowered.com/app/2787320/__Revenge_of_the_Savage_Planet/?snr=1_7_7_7000_150_17,2787320,,,82.0,82.0,[],"['独立', '类银河战士恶魔城', '喜剧', '探索', '平台游戏', '彩色', '动作', '多人', '第三人称', '单人', '在线合作', '动作冒险', '合作', '开放世界', '太空', '科幻', '生存', '解谜', '分屏', '冒险']",2025-05-08,2025-05-08,《狂野星球复仇记》(Revenge of the Savage Planet) 是一款欢乐的讽刺科幻冒险游戏。在游戏中，你可以跳跃、射击，收集各种物品，探索五彩斑斓的外星世界，解锁新装备和升级物品，同时揭开各种隐藏的秘密。,未知,Raccoon Logic Studios Inc.
Bodycam,https://store.steampowered.com/app/2406770/Bodycam/?snr=1_7_7_7000_150_17,2406770,195.0,156.0,74.0,68.0,[],"['团队导向', '动作', '多人', '快节奏', '射击', '沉浸式模拟', '僵尸', '第一人称', '战术', '战争游戏', '恐怖', '合作', '开放世界', '拟真', '玩家对战', '军事', '物理', '第一人称射击', '战斗', '抢先体验']",2024-06-07,2024-06-07,Bodycam是一款使用虚幻引擎5开发的超现实多人第一人称射击游戏。准备好跳入快节奏的Bodycam动作中，在那里，每一颗子弹都至关重要，每一个选择都可以决定你团队的胜利或失败。,未知,Reissad Studio
Animaze by FaceRig,https://store.steampowered.com/app/1364390/Animaze_by_FaceRig/?snr=1_7_7_7000_150_17,1364390,,,69.0,72.0,[],"['动漫', '试验性', '游戏开发', '模拟', '视频制作', '欢乐', '彩色', '单人', '网络梗', '动画制作和建模', '奇幻', '免费开玩', '可爱', '卡通', '3D', '软件', '2D', '可模组化', '史诗级', '抢先体验']",2021-11-17,2021-11-17,"Livestream, chat, or create videos as world-class 2D and 3D avatars. Use one of the over 60 avatars provided or import your own 2D, 3D, VRM, or Ready Player Me model. Animaze is powering PuffPuff, one of the top real-time mocap virtual beings on TikTok with 4.7 million followers.",未知,Holotech Studios Inc.
TDS - Tower Defense Strategy,https://store.steampowered.com/app/2392280/TDS__Tower_Defense_Strategy/?snr=1_7_7_7000_150_17,2392280,100.0,60.0,86.0,70.0,[],"['独立', '即时战略', '氛围', '管理', '探索', '玩家对战环境', '多人', '基地建设', '2.5D', '单人', '像素图形', '建造', '奇幻', '在线合作', '动作即时战略', '合作', '3D', '塔防', '策略', '抢先体验']",2025-05-23,2025-05-23,TDS - TOWER ▪ DEFENSE ▪ STRATEGY. 控制船只。使用他们独特的塔。打造强大的防御。不惜一切代价保护您的盆地。 TDS/RTS,未知,Blockage Studios
信長之野望･新生 威力加強版,https://store.steampowered.com/app/2164240/_/?snr=1_7_7_7000_150_17,2164240,,,39.0,39.0,[],['模拟'],2023-07-19,2023-07-19,未知,未知,"KOEI TECMO GAMES CO., LTD."
《渔帆暗涌》,https://store.steampowered.com/app/1562430/_/?snr=1_7_7_7000_150_17,1562430,,,95.0,96.0,[],"['独立', '悬疑', '氛围', '洛夫克拉夫特式', '探索', '模拟', '钓鱼', '生存恐怖', '风格化', '角色扮演', '单人', '恐怖', '航海', '开放世界', '3D', '心理恐怖', '库存管理', '冒险', '心理', '剧情丰富']",2023-03-30,2023-03-30,《渔帆暗涌》是一款有汹涌暗流的单人钓鱼冒险游戏。出售你的渔获，升级船只，并在深海中挖掘出埋藏已久的秘密。探索一个神秘的群岛，最终明白有些事情为什么还是忘掉为妙。,未知,Team17
LUNAR Remastered Collection,https://store.steampowered.com/app/3255380/LUNAR_Remastered_Collection/?snr=1_7_7_7000_150_17,3255380,,,90.0,95.0,[],"['龙', '日系角色扮演', '回合制战斗', '动漫', '复古', '2D', '魔法', '回合战略', '怀旧', '爱情', '90 年代', '战斗', '冒险', '角色扮演', '单人', '像素图形', '剧情丰富', '奇幻']",2025-04-17,2025-04-17,「LUNAR: Silver Star Story」与「LUNAR 2: Eternal Blue」即将复苏于Steam®平台！ 让我们一起跳进这两部深受各代玩家喜爱的JRPG名作的世界。 与阿雷斯、希洛及其他伙伴们一同冒险，挑战魔法皇帝和破坏神等强敌吧。 拯救相隔千年的两个世界的战斗即将就此展开！,未知,"GungHo Online Entertainment America, Inc."
青鬼 ブルーベリー温泉の怪異,https://store.steampowered.com/app/3388870/_/?snr=1_7_7_7000_150_17,3388870,,,81.0,81.0,[],"['独立', '动作冒险', '动漫', '2D', '动作', '2D 平台', '俯视', '冒险', '角色扮演', '单人', '像素图形', '恐怖']",2025-05-01,2025-05-01,"Challenge yourself while being chased by fear! A horror puzzle action adventure! ■A completely new version of the legendary horror game ""Ao Oni""!",未知,Game Studio Inc.
Kenshi,https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_7000_150_17,233860,,,95.0,93.0,[],"['角色自定义', '独立', '制作', '即时战略', '蒸汽朋克', '城市营造', '管理', '忍者', '模拟', '基地建设', '角色扮演', '单人', '建造', '开放世界', '架空历史', '后末日', '沙盒', '策略', '生存', '冒险']",2018-12-06,2018-12-06,一款以自由行动小分队为基础的角色扮演RPG类游戏。专注于开放式的沙盒游戏功能而非线性故事。选择成为商人、小偷、反叛者、军阀、冒险者、农民、奴隶或是食人族的牙祭。探索新设备，锻造新装备。,未知,Lo-Fi Games
Omega Crafter,https://store.steampowered.com/app/2262080/Omega_Crafter/?snr=1_7_7_7000_150_18,2262080,,,80.0,69.0,[],"['独立', '制作', '城市营造', '探索', '玩家对战环境', '动作', '多人', '自动化', '角色扮演', '建造', '在线合作', '合作', '开放世界', '程序生成', '3D', '沙盒', '开放世界生存制作', '生存', '冒险', '抢先体验']",2025-05-14,2025-05-14,携手可编程伙伴Grammi，一起在这个辽阔的开放世界中展开冒险！通过编写Grammi的行动指令，不仅可以让它一起搜集材料，建造城镇，装备武器应战强悍的头目，还可以与自己的朋友们一起冒险哦！,未知,Preferred Networks
Ghost of Tsushima导演剪辑版,https://store.steampowered.com/app/2215430/Ghost_of_Tsushima/?snr=1_7_7_7000_150_18,2215430,,,93.0,,[],[],2024-05-16,,未知,未知,未知
恶魔轮盘,https://store.steampowered.com/app/2835570/_/?snr=1_7_7_7000_150_18,2835570,,,96.0,93.0,[],"['独立', '黑暗', '试验性', '模拟', '赌博', '动作', '多人', '超现实', '单人', '第一人称', '鲜血', '恐怖', '类 Rogue', '3D', '心理恐怖', '轻度 Rogue', '策略', '解谜', '第一人称射击', '心理']",2024-04-04,2024-04-04,用 12 号口径霰弹枪玩俄罗斯轮盘。四人进入。一人离开。用你的性命搏一把运气。祝你好运。,未知,CRITICAL REFLEX
Ravenswatch 鸦卫奇旅,https://store.steampowered.com/app/2071280/Ravenswatch/?snr=1_7_7_7000_150_18,2071280,140.0,70.0,80.0,,[],[],2024-09-26,,未知,未知,未知
救命！怎么又塌了!,https://store.steampowered.com/app/1796470/_/?snr=1_7_7_7000_150_18,1796470,110.0,88.0,91.0,89.0,[],"['动作类 Rogue', '奔跑', '探索', '平台游戏', '街机', '彩色', '动作', '快节奏', '第三人称', '单人', '动作冒险', '开放世界', '竞速', '休闲', '女性主角', '3D', '轻度 Rogue', '3D 平台', '冒险', '跑酷']",2025-04-01,2025-04-01,快速奔跑，在空中翱翔，熟练掌握落地技巧，在随机生成的世界中加速冲刺，逃离宇宙末日,未知,Landfall
Call of Duty®: WWII,https://store.steampowered.com/app/476600/Call_of_Duty_WWII/?snr=1_7_7_7000_150_18,476600,449.5,148.3,70.0,,[],[],2017-11-02,,未知,未知,未知
枪火重生,https://store.steampowered.com/app/1217060/_/?snr=1_7_7_7000_150_18,1217060,,,93.0,86.0,[],"['独立', '动作类 Rogue', '动作', '多人', '迷宫探索', '快节奏', '射击', '角色扮演', '第一人称', '单人', '刷宝', '在线合作', '类 Rogue', '刷宝射击游戏', '重玩价值', '合作', '轻度 Rogue', '第一人称射击', '冒险', '抢先体验']",2021-11-17,2021-11-17,《枪火重生》是一款融合了第一人称射击、Roguelite随机要素和RPG策略选择的冒险闯关游戏。玩家在游戏里可以操纵不同能力的英雄组建多种Build玩法，使用随机掉落的武器在随机性关卡中进行冒险挑战。可以单人畅玩，也可以最多四人组队挑战。,未知,Duoyi Games
饥饿派画家2：迷失,https://store.steampowered.com/app/1571100/2/?snr=1_7_7_7000_150_18,1571100,150.0,90.0,95.0,,[],[],2023-04-04,,未知,未知,未知
Ratopia,https://store.steampowered.com/app/2244130/Ratopia/?snr=1_7_7_7000_150_18,2244130,,,87.0,82.0,[],"['独立', '管理', '城市营造', '探索', '模拟', '经济', '基地建设', '资源管理', '殖民模拟', '单人', '卡通风格', '建造', '可爱', '开放世界', '沙盒', '2D', '策略', '生存', '冒险', '困难']",2025-04-30,2025-04-30,经济策略生存、沙盒和城市建设模拟游戏的结合！ 这是一个规模宏大、内容丰富的模拟游戏。 设计属于自己的可持续经济，建设理想的鼠托邦吧！,未知,Cassel Games
暗夜绝望,https://store.steampowered.com/app/1548520/_/?snr=1_7_7_7000_150_18,1548520,,,44.0,55.0,[],"['血腥', '制作', '动作', '多人', '基地建设', '第三人称射击', '射击', '僵尸', '角色扮演', '单人', '恐怖', '在线合作', '免费开玩', '开放世界', '拟真', '玩家对战', '后末日', '暴力', '生存', '冒险']",2025-04-23,2025-04-23,《暗夜绝望》是一款以丧尸爆发的末日为背景的丧尸射击RPG游戏。 探索荒凉但充满魅力的开放世界，和幸存者们一起建造避难所，成长并生存。 可以多人游戏，为了生存你可以与其他玩家一起寻找物资，或是争夺战斗。,未知,NHN
Worshippers of Cthulhu,https://store.steampowered.com/app/2807150/Worshippers_of_Cthulhu/?snr=1_7_7_7000_150_18,2807150,140.0,98.0,86.0,80.0,[],"['黑暗', '氛围', '洛夫克拉夫特式', '管理', '城市营造', '等角视角', '恶魔', '模拟', '经济', '基地建设', '殖民模拟', '故事架构丰富', '单人', '恐怖', '建造', '黑暗奇幻', '架空历史', '沙盒', '策略', '灵异']",2025-05-22,2025-05-22,引领克苏鲁教之途，主宰狂热信徒的命运。在这个理智与疯狂的界限渐趋模糊的世界里，执行黑暗晦涩的仪式，掌握建城的艺术。你能否承受亲手释放的恐怖？,未知,Crytivo
Sid Meier’s Civilization® VI,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_7000_150_18,289070,,,87.0,88.0,[],"['大战略', '好评原声音轨', '氛围', '城市营造', '管理', '模拟', '六角格棋盘', '回合战略', '多人', '单人', '战术', '建造', '在线合作', '合作', '战争', '回合制', '策略', '可模组化', '4X', '历史']",2016-10-20,2016-10-20,扩张疆域，发展文化，并与历史上最伟大的领袖正面交锋。你的文明是否能经得起时间的考验？,未知,2K
小缇娜的奇幻之地,https://store.steampowered.com/app/1286680/_/?snr=1_7_7_7000_150_18,1286680,385.0,77.0,72.0,31.0,[],"['角色自定义', '喜剧', '玩家对战环境', '动作', '多人', '射击', '风格化', '角色扮演', '单人', '刷宝', '奇幻', '本地合作', '在线合作', '刷宝射击游戏', '合作', '职业导向', '3D', '第一人称射击', '冒险', '记叙']",2022-06-23,2022-06-23,快来参加这场充满奇思妙想、神奇景观和高能武器的史诗冒险！摇出你专属的多职业英雄，战斗、寻宝，踏上阻止暴虐boss天龙魔君的征途。,未知,2K
FINAL FANTASY VI,https://store.steampowered.com/app/1173820/FINAL_FANTASY_VI/?snr=1_7_7_7000_150_18,1173820,,,91.0,98.0,[],"['好评原声音轨', '情感', '探索', '怀旧', '重制', '故事架构丰富', '单人', '角色扮演', '像素图形', '奇幻', '日系角色扮演', '回合制战斗', '复古', '魔法', '职业导向', '团队角色扮演', '女性主角', '2D', '冒险', '剧情丰富']",2022-02-23,2022-02-23,以崭新的画质与音质复活的《FINAL FANTASY VI》像素复刻版。 著名角色扮演类游戏《FF》系列第六作通过精美鲜明的2D画面回归。 原版的气氛与乐趣有了更大的提升，玩家可以更轻松地享受这一不朽篇章。,未知,Square Enix
圣剑传说3 TRIALS of MANA,https://store.steampowered.com/app/924980/3_TRIALS_of_MANA/?snr=1_7_7_7000_150_18,924980,,,91.0,81.0,[],"['角色自定义', '动漫', '好评原声音轨', '动作', '重制', '第三人称', '角色扮演', '单人', '经典', '奇幻', '日系角色扮演', '动作角色扮演', '可爱', '开放世界', '团队角色扮演', '女性主角', '冒险', '剧情丰富', '砍杀']",2020-04-24,2020-04-24,《Trials of Mana》是日本电玩界开创性大作《圣剑传说》系列第三部游戏的复刻版，现已由内而外完全重制为3D版本。,未知,Square Enix
KARDS - 二战卡牌游戏,https://store.steampowered.com/app/544810/KARDS/?snr=1_7_7_7000_150_18,544810,,,73.0,57.0,[],"['集换式卡牌游戏', '二战', '回合战略', '多人', '单人', '战争游戏', '回合制战斗', '免费开玩', '休闲', '拟真', '玩家对战', '卡牌游戏', '战争', '军事', '棋盘游戏', '坦克', '策略', '俯视', '牌组构建', '历史']",2020-04-15,2020-04-15,KARDS，二战题材卡牌类游戏，将传统的收集类卡牌游戏的游戏方式与真实的战场策略和受传统战略游戏启发产生的创新机制完美结合。运筹帷幄，与其他玩家在海、陆、空的大型战场上一较高下。,未知,1939 Games
Opus Magnum,https://store.steampowered.com/app/558990/Opus_Magnum/?snr=1_7_7_7000_150_18,558990,115.0,57.5,97.0,85.0,[],"['模拟', '独立', '六角格棋盘', '编程', '2D', '自动化', '好评原声音轨', '休闲', '逻辑', '蒸汽朋克', '解谜', '单人', '困难', '沙盒', '建造']",2017-12-07,2017-12-07,《Opus Magnum》是由曾经开发《SpaceChem》、《Infinifactory》和《SHENZHEN I/O》的Zachtronics制作的最新开放式解谜游戏。玩家需要设计和建造配置药水和毒药的机器，并且使用炼金术工程中最为先进的工具——嬗变引擎！,未知,Zachtronics
ARK: Genesis Season Pass,https://store.steampowered.com/app/1113410/ARK_Genesis_Season_Pass/?snr=1_7_7_7000_150_18,1113410,,,54.0,54.0,[],"['独立', '制作', '恐龙', '龙', '动作', '多人', '基地建设', '角色扮演', '单人', '第一人称', '建造', '合作', '开放世界', '科幻', '沙盒', '开放世界生存制作', '暴力', '生存', '冒险', '大型多人在线']",2019-08-08,2019-08-08,未知,未知,Snail Games USA
Keep Talking and Nobody Explodes,https://store.steampowered.com/app/341800/Keep_Talking_and_Nobody_Explodes/?snr=1_7_7_7000_150_18,341800,,,97.0,95.0,[],"['独立', '社交聚会', '团队导向', '模拟', '欢乐', '多人', '虚拟现实', '本地多人', '社交聚会游戏', '本地合作', '合作', '孩童', '休闲', '程序生成', '棋盘游戏', '策略', '可模组化', '解谜', '困难', '非对称 VR']",2015-10-08,2015-10-08,你发现自己与一个正在倒计时的炸弹独处一室。你的伙伴手中有拆弹手册，但他们看不见你手中的炸弹，不想炸就快开始说话！本游戏为本地合作类游戏，需要至少2个玩家进行。,未知,Steel Crate Games
RimWorld - Biotech,https://store.steampowered.com/app/1826140/RimWorld__Biotech/?snr=1_7_7_7000_150_18,1826140,,,93.0,91.0,[],"['独立', '模拟', '策略', '可模组化', '科幻', '殖民模拟', '单人', '心理恐怖', '沙盒']",2022-10-21,2022-10-21,未知,未知,Ludeon Studios
人中之龙7外传 无名之龙,https://store.steampowered.com/app/2375550/7/?snr=1_7_7_7000_150_18,2375550,,,96.0,94.0,[],"['血腥', '色情内容', '喜剧', '好评原声音轨', '情感', '狗', '动作', '第三人称', '单人', '武术', '日系角色扮演', '动作冒险', '动作角色扮演', '开放世界', '清版动作', '暴力', '冒险', '剧情丰富', '成人', '砍杀']",2023-11-08,2023-11-08,桐生一马，曾经被称为“传说中的黑道”的男人。为了保护心爱的家人，他隐姓埋名，长久以来栖身于黑暗之中…… 本作是以桐生一马的视角，描写《人中之龙6：生命诗篇。》之后空白时期的系列新作。 本作在动作战斗实现进化，并加入全新关卡，同时还保留了隐藏要素满载的娱乐场所。,未知,SEGA
MONSTER HUNTER RISE: SUNBREAK,https://store.steampowered.com/app/1880360/MONSTER_HUNTER_RISE_SUNBREAK/?snr=1_7_7_7000_150_18,1880360,,,62.0,81.0,[],"['角色自定义', '在线合作', '狩猎', '日系角色扮演', '动作角色扮演', '动漫', '动作', '多人', '合作', '角色扮演', '恋爱模拟']",2022-06-29,2022-06-29,未知,未知,"CAPCOM Co., Ltd."
享受这间餐厅吧,https://store.steampowered.com/app/2336980/_/?snr=1_7_7_7000_150_18,2336980,,,97.0,96.0,[],"['指向点击', '放松', '视觉小说', '未来', '氛围', '剧情', '自选历险体验', '冒险', '单人', '像素图形', '对话']",2023-07-31,2023-07-31,朋友啊，享受这间餐厅吧。这里的月亮满盈如镜，还有免费的自助饮料机呢。,未知,Waku Waku Games
Tom Clancy’s The Division™,https://store.steampowered.com/app/365590/Tom_Clancys_The_Division/?snr=1_7_7_7000_150_18,365590,198.0,792.0,71.0,82.0,[],"['氛围', '潜行', '大型多人在线角色扮演', '动作', '多人', '第三人称射击', '射击', '第三人称', '角色扮演', '单人', '战术', '在线合作', '刷宝射击游戏', '合作', '开放世界', '后末日', '生存', '第一人称射击', '冒险', '大型多人在线']",2016-03-09,2016-03-09,在一种毁坏性的流行病使整个城市处于崩溃边缘之后，国土安全局特工担当起了拯救幸存者的责任。完成任务，探索暗区，单打独斗或是与三名队友组队击退敌方势力。完整的游戏终局体验能够带给你极具挑战性的PvP与PvE活动。,未知,Ubisoft
SD GUNDAM G GENERATION CROSS RAYS,https://store.steampowered.com/app/728530/SD_GUNDAM_G_GENERATION_CROSS_RAYS/?snr=1_7_7_7000_150_18,728530,,,83.0,61.0,[],"['角色自定义', '机器人', '动漫', '电影式', '等角视角', '回合战略', '2.5D', '角色扮演', '单人', '日系角色扮演', '太空', '战术角色扮演', '科幻', '回合制', '机甲', '策略角色扮演', '策略', '俯视', '回合制战术', '剧情丰富']",2019-11-27,2019-11-27,走过创世纪，4个全新世纪又将集结于此—— 「新机动战记高达W」系列、「机动战士高达SEED」系列、「机动战士高达00」系列、 「机动战士高达 铁血的奥尔芬斯」系列中高达30部作品参战。 让您亲身经历4大世界的G世代最新作登场！ 编制专属自己的队伍，叱吒沙场吧！,未知,BANDAI NAMCO Entertainment
MASH VP! Re:VISION,https://store.steampowered.com/app/2928330/MASH_VP_ReVISION/?snr=1_7_7_7000_150_19,2928330,199.0,159.20000000000002,86.0,89.0,[],"['动漫', '动作', '休闲', '未来', '节奏', '音乐', '单人']",2025-03-21,2025-03-21,「纵横律动、浑然新声」[MASH VP! Re:VISION]是一款同时将两条音轨与音乐”融合“的创新节奏游戏。140首以上多彩的乐曲，多样的游戏模式，再加上刺激玩家创造力的Mash Up系统，将带您进入音乐的全新世界！,未知,"AXTORM Co., Ltd."
巴别塔圣歌,https://store.steampowered.com/app/1931770/_/?snr=1_7_7_7000_150_19,1931770,124.0,80.60000000000001,98.0,97.0,[],"['文字游戏', '独立', '指向点击', '悬疑', '好评原声音轨', '氛围', '探索', '潜行', '放松', '推理', '困难', '彩色', '风格化', '单人', '动作冒险', '平台解谜', '解谜', '冒险', '剧情丰富', '神话']",2023-09-05,2023-09-05,走进这款获奖解谜冒险游戏，化身旅人，破除隔阂，令高塔上的民族团结起来。走进这座别样而又迷人的巴别塔，仔细观察、聆听，才能破译古代文字。,未知,Focus Entertainment
尘埃终须落定,https://store.steampowered.com/app/2676840/_/?snr=1_7_7_7000_150_19,2676840,,,96.0,95.0,[],"['指向点击', '动漫', '视觉小说', '情感', '剧情', '基于文字', '调查', '推理', '沉浸式模拟', '自选历险体验', '像素图形', '多结局', '可爱', '拟真', '女性主角', '互动小说', '2D', '解谜', '冒险', '剧情丰富']",2024-01-17,2024-01-17,在全璟警官退休12年后的某一天，一位年轻的警察找到她，请求她协助自己了结这件尚未侦破的‘犀源失踪案’。全璟回想着过去，试图将散落的记忆碎片重新拼凑起来，然而，浮出的真相却只有一个——那就是犀源身边的每一个人都在说谎。,未知,Somi
Critter Cove,https://store.steampowered.com/app/1631470/Critter_Cove/?snr=1_7_7_7000_150_19,1631470,140.0,98.0,95.0,87.0,[],"['角色自定义', '农业', '烹饪', '管理', '探索', '模拟', '放松', '钓鱼', '基地建设', '温馨惬意', '生活模拟', '单人', '角色扮演', '航海', '开放世界', '可爱', '自然', '农场模拟', '冒险', '抢先体验']",2024-09-10,2024-09-10,这是一款深度的开放世界生活模拟与城镇建设游戏，背景设定在一个舒适的末世后乐园。在这里，你可以复兴古老的小镇、航行穿越神秘的群岛、搜寻文物、种植农作物、捕鱼以及制作你所需要的物资。你能帮助动物海湾重获新生，再次成为一个繁荣的旅游胜地吗？,未知,Gentleman Rat Studios
X4: Foundations,https://store.steampowered.com/app/392160/X4_Foundations/?snr=1_7_7_7000_150_19,392160,,,78.0,78.0,[],"['大战略', '管理', '探索', '沉浸式', '模拟', '经济', '基地建设', '贸易', '太空模拟', '单人', '第一人称', '资本主义', '建造', '飞行', '开放世界', '太空', '程序生成', '3D', '沙盒', '策略']",2018-11-30,2018-11-30,刺激的太空战斗与深度策略相结合。 《X4：基石》 邀请您在一个动态、完全模拟的太空沙盒中探索、战斗、贸易和建立帝国，您的每一个决定都将塑造您的旅程。现已加入 2025 年飞行模型全面革新。,未知,Egosoft
RPG Developer Bakin,https://store.steampowered.com/app/1036640/RPG_Developer_Bakin/?snr=1_7_7_7000_150_19,1036640,,,85.0,85.0,[],"['软件', '动漫', '抢先体验', '团队角色扮演', '角色扮演', '游戏开发', '单人', '3D']",2022-10-17,2022-10-17,RPG Developer Bakin（以下简称Bakin）是一款无需编程的游戏开发工具，任何人都可以利用它的直观操作和高级功能，畅享制作RPG游戏的乐趣。不仅如此，Bakin还提供了各式工具助力你的创作，以及游戏用DLC素材，让你在购入后的瞬间即可开始展现你的创意。无论你制作的游戏是否有偿，均可免版税发布。心动不如行动，快使用Bakin将“你所构想的世界”化为游戏吧！,未知,SmileBoom Co.Ltd.
7 Days to End with You,https://store.steampowered.com/app/1859280/7_Days_to_End_with_You/?snr=1_7_7_7000_150_19,1859280,,,89.0,,[],[],2022-02-06,,未知,未知,未知
Liar's Bar,https://store.steampowered.com/app/3097560/Liars_Bar/?snr=1_7_7_7000_150_19,3097560,,,91.0,,[],[],2024-10-02,,未知,未知,未知
Euro Truck Simulator 2 - West Balkans,https://store.steampowered.com/app/2004210/Euro_Truck_Simulator_2__West_Balkans/?snr=1_7_7_7000_150_19,2004210,,,84.0,,[],[],2023-10-19,,未知,未知,未知
GGST Additional Character 11 - Elphelt Valentine,https://store.steampowered.com/app/2524040/GGST_Additional_Character_11__Elphelt_Valentine/?snr=1_7_7_7000_150_19,2524040,,,92.0,,[],[],2023-12-08,,未知,未知,未知
Roboquest (机械守护者),https://store.steampowered.com/app/692890/Roboquest/?snr=1_7_7_7000_150_19,692890,167.0,106.85000000000001,95.0,91.0,[],"['独立', '永久死亡', '动作类 Rogue', '彩色', '动作', '多人', '快节奏', '射击', '风格化', '单人', '第一人称', '在线合作', '类 Rogue', '刷宝射击游戏', '合作', '科幻', '弹幕射击', '后末日', '轻度 Rogue', '第一人称射击']",2023-11-07,2023-11-07,Roboquest是一款设定在被遗弃的未来世界中的快节奏的Roguelite的第一人称射击游戏。你是个被重启的守护者机器人，已经准备好暴打一顿别的破铜烂铁！ 在多变的环境中与你的朋友，或孤身一人的消灭一群又一群的致命机器人。,未知,RyseUp Studios
GGST Additional Character 6 - Bridget,https://store.steampowered.com/app/2081050/GGST_Additional_Character_6__Bridget/?snr=1_7_7_7000_150_19,2081050,,,96.0,100.0,[],"['动漫', '彩色', '动作', '类魂系列', '可爱', '好评原声音轨', '心理恐怖', '格斗', '女性主角', '2D 格斗', 'LGBTQ+']",2022-08-08,2022-08-08,未知,未知,Arc System Works
Conan Exiles,https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_7000_150_19,440900,,,78.0,80.0,[],"['血腥', '制作', '探索', '动作', '多人', '角色扮演', '单人', '建造', '奇幻', '在线合作', '合作', '开放世界', '玩家对战', '沙盒', '开放世界生存制作', '暴力', '裸露', '生存', '冒险', '大型多人在线']",2018-05-08,2018-05-08,一款以《野蛮人柯南》中的荒野之地为背景的多人网络求生游戏，如今加入了法术系统。通过单人游戏或多人合作的形式在辽阔开放的沙盒世界中生存下来，把你的家园建造成一个王国，并称霸一方！,未知,Funcom
GGST Additional Character 7 - Sin Kiske,https://store.steampowered.com/app/2081051/GGST_Additional_Character_7__Sin_Kiske/?snr=1_7_7_7000_150_19,2081051,,,92.0,92.0,[],"['动作', '可爱', '烹饪', '2D 格斗', '心理恐怖']",2022-11-24,2022-11-24,未知,未知,Arc System Works
Splitgate 2 - Beta,https://store.steampowered.com/app/2918300/Splitgate_2__Beta/?snr=1_7_7_7000_150_19,2918300,,,65.0,65.0,[],"['在线合作', '英雄射击', '控制器', '动作', '免费开玩', '多人', '未来', '玩家对战', '射击', '竞技场射击', '快节奏', '科幻', '第一人称射击', '战斗', '第一人称', '枪械改装']",2025-05-22,2025-05-22,Splitgate 2是唯一一款结合传送门机制的免费射击游戏，通过不断进化的游戏内容带来前所未有的枪战体验、自由流畅的移动操作以及丰富多样的游戏模式。未来竞技，由此开启。,未知,1047 Games
F1® Manager 2024,https://store.steampowered.com/app/2591280/F1_Manager_2024/?snr=1_7_7_7000_150_19,2591280,195.0,58.5,78.0,90.0,[],"['时间管理', '管理', '团队导向', '模拟', '体育', '玩家对战环境', '经济', '基地建设', '沉浸式模拟', '资源管理', '驾驶', '战术', '孩童', '竞速', '拟真', '选择取向', '时空操控', '3D', '策略', '汽车模拟']",2024-07-23,2024-07-23,在《F1®车队经理2024》中带领车队走向荣耀。Formula 1®新赛季已经全面开启，全世界最全面的F1®车队管理体验也随之推出。选择10家官方F1®车队之一或者首次创建属于自己的车队，建立你的辉煌王朝。,未知,Frontier Developments
SILENT HILL 2,https://store.steampowered.com/app/2124490/SILENT_HILL_2/?snr=1_7_7_7000_150_19,2124490,,,95.0,94.0,[],"['色情内容', '好评原声音轨', '氛围', '电影式', '探索', '动作', '生存恐怖', '重制', '第三人称', '单人', '经典', '恐怖', '多结局', '动作冒险', '3D', '心理恐怖', '暴力', '心理', '冒险', '剧情丰富']",2024-10-07,2024-10-07,收到已过世的妻子玛丽寄来的信，詹姆斯借机来到充满回忆的城镇「寂静岭」。 但是市街却深锁于浓雾之中，变成诡异生物徘徊的鬼城。 和怪物战斗并解谜的同时，在城镇中探索妻子蛛丝马迹的『SILENT HILL 2』重制版作品。,未知,KONAMI
三国志14,https://store.steampowered.com/app/872410/14/?snr=1_7_7_7000_150_19,872410,,,62.0,72.0,[],"['角色自定义', '大战略', '模拟', '回合战略', '沉浸式模拟', '资源管理', '单人', '角色扮演', '战术', '战争游戏', '重玩价值', '战争', '架空历史', '3D', '回合制', '军事', '外交', '策略', '回合制战术', '历史']",2020-01-15,2020-01-15,夺取土地、丧失土地、收复失地。得“土地”者得天下！,未知,"KOEI TECMO GAMES CO., LTD."
