游戏名称,游戏URL,AppID,原价,折扣价,基本好评率,详细好评率,基本标签,详细标签,基本发布时间,详细发布日期,游戏描述,开发商,发行商
Contraband Police,https://store.steampowered.com/app/756800/Contraband_Police/?snr=1_7_7_7000_150_42,756800,212.45000000000002,171.0,94.0,93.0,[],"['独立', '氛围', '管理', '模拟', '推理', '动作', '80 年代', '沉浸式模拟', '单人', '第一人称', '多结局', '动作冒险', '开放世界', '拟真', '破坏', '汽车模拟', '物理', '生存', '第一人称射击', '剧情丰富']",2023-03-08,2023-03-08,上世纪80年代，你在一个共产主义国家担任边防警察。走私、腐败和造假在这里十分常见。保持高度警惕，争取赢得上司的赏识。,未知,PlayWay S.A.
Ib,https://store.steampowered.com/app/1901370/Ib/?snr=1_7_7_7000_150_42,1901370,,,99.0,100.0,[],"['独立', '动漫', '氛围', '探索', '超现实', '自选历险体验', '角色扮演', '像素图形', '恐怖', '多结局', '黑暗奇幻', '可爱', '选择取向', '休闲', '女性主角', '心理恐怖', '2D', '生存', '解谜', '剧情丰富']",2022-04-11,2022-04-11,本作品是一个充满了奇特艺术品的美术馆内的2D探索性冒险游戏《Ib》的重制版。一边到处寻找物品，一边活用艺术品的特点来解开机关谜题等， 以逃出这个奇妙的美术馆为目标。,未知,PLAYISM
雷霆孤影 (VOIN),https://store.steampowered.com/app/2464530/_VOIN/?snr=1_7_7_7000_150_42,2464530,100.0,80.0,94.0,96.0,[],"['独立', '动作类 Rogue', '动作', '风格化', '中世纪', '角色扮演', '第一人称', '单人', '撤离射击', '类 Rogue', '黑暗奇幻', '动作角色扮演', '动作冒险', '复古', '类魂系列', '开放世界', '轻度 Rogue', '抢先体验', '哥特', '砍杀']",2024-12-10,2024-12-10,《雷霆孤影》是一款由独立开发者打造的第一人称砍杀游戏。在快节奏的战斗中直面潮涌而至的敌人，杀出一条血路。探索一个充满秘密且危机四伏的黑暗奇幻世界。在净化破碎世界的征程中，寻获强大的武器装备，并挑战那来势汹汹的强悍头目。,未知,tinyBuild
深渊绝赌：千王处刑,https://store.steampowered.com/app/2514640/_/?snr=1_7_7_7000_150_42,2514640,,,53.0,76.0,[],"['动漫', '悬疑', '视觉小说', '玩家对战环境', '推理', '欢乐', '赌博', '卡牌战斗', '角色扮演', '单人', '可爱', '卡牌游戏', '科幻', '女性主角', '2D', '反乌托邦', '电脑角色扮演', '黑色幽默', '冒险', '剧情丰富']",2025-04-09,2025-04-09,“要么爷死，要么魔女亡。来场不是深渊就是巅峰的死亡对决！” 濑名原明日叶，自封稀世天才赌徒。 向统治赌博特区的【魔女】发起挑战的她，却因为神秘力量跪在胜利一步之遥…… 这是揭秘千术，靠扑克一步登天的赌博冒险。,未知,Alliance Arts
The Bus - 城市公交模拟,https://store.steampowered.com/app/491540/The_Bus/?snr=1_7_7_7000_150_43,491540,,,75.0,71.0,[],"['时间管理', '氛围', '管理', '探索', '模拟', '放松', '教程', '经济', '多人', '驾驶', '第一人称', '单人', '开放世界', '拟真', '休闲', '关卡编辑', '可模组化', '汽车模拟', '交通运输', '抢先体验']",2021-03-25,2021-03-25,The Bus是一款次世代的城市巴士驾驶模拟游戏。我们这次将带你走进德意志的首都——柏林。驾驶数款客车运营在柏林几条著名的巴士线上，沿线街区以1:1的比例依现实还原。管理好你的车队的同时你也可以与其他线上玩家通力合作，打造运输帝国。,未知,Aerosoft GmbH
喵门镖局 - Wild Woods,https://store.steampowered.com/app/1975580/__Wild_Woods/?snr=1_7_7_7000_150_43,1975580,110.0,72.60000000000001,77.0,79.0,[],"['制作', '动作类 Rogue', '玩家对战环境', '街机', '彩色', '动作', '多人', '资源管理', '卡通风格', '刷宝', '奇幻', '本地合作', '在线合作', '控制器', '合作', '休闲', '3D', '战斗', '抢先体验', '砍杀']",2024-12-09,2024-12-09,《喵门镖局》是一款精彩刺激的单机多人合作游戏，讲究团队合作，有各种各样的林地小动物。一到四名玩家扮演勇敢小猫的角色，保卫其木制马车一路穿过危险的森林。巧妙的合作是关键，因为路上到处都是障碍！,未知,Daedalic Entertainment
Planet Zoo: Americas Animal Pack,https://store.steampowered.com/app/3473820/Planet_Zoo_Americas_Animal_Pack/?snr=1_7_7_7000_150_43,3473820,50.5,858.0,76.0,76.0,[],"['好评原声音轨', '管理', '城市营造', '模拟', '放松', '欢乐', '经济', '多人', '资源管理', '单人', '建造', '孩童', '可爱', '拟真', '开放世界', '休闲', '自然', '沙盒', '马匹', '策略']",2025-04-15,2025-04-15,未知,未知,Frontier Developments
FATE: Reawakened,https://store.steampowered.com/app/3030720/FATE_Reawakened/?snr=1_7_7_7000_150_43,3030720,187.0,149.6,70.0,74.0,[],"['角色自定义', '动作类 Rogue', '探索', '钓鱼', '迷宫探索', '动作', '第三人称', '角色扮演', '刷宝', '老式', '奇幻', '类 Rogue', '黑暗奇幻', '动作冒险', '动作角色扮演', '3D', '轻度 Rogue', '战斗', '冒险', '砍杀']",2025-03-12,2025-03-12,久负盛名的 FATE 游戏系列，重磅回归！玩转四款经典地牢冒险游戏，体验全面升级的画面效果，挑战无尽的地牢，学习强大的法术，甚至还可以尽情垂钓。你敢来挑战吗？你的 FATE，即将启程！,未知,gamigo US Inc.
Metro Exodus,https://store.steampowered.com/app/412020/Metro_Exodus/?snr=1_7_7_7000_150_43,412020,,,89.0,91.0,[],"['血腥', '好评原声音轨', '氛围', '探索', '潜行', '动作', '多人', '生存恐怖', '射击', '单人', '第一人称', '恐怖', '开放世界', '后末日', '心理恐怖', '暴力', '生存', '第一人称射击', '冒险', '剧情丰富']",2020-02-14,2019-02-14,逃出支离破碎的莫斯科地铁废墟，在后启示录的俄罗斯荒野中，踏上横跨大陆的史诗之旅。探索广袤无际的关卡，沉浸在沙盒式生存体验中，在有史以来最精彩的地铁系列故事中历经长达一年的宏大冒险。,未知,Deep Silver
咒笼: 诅咒领域,https://store.steampowered.com/app/1299060/_/?snr=1_7_7_7000_150_43,1299060,,,81.0,71.0,[],"['独立', '黑暗', '恶魔', '潜行', '玩家对战环境', '动作', '多人', '生存恐怖', '单人', '第一人称', '恐怖', '在线合作', '动作冒险', '合作', '3D', '心理恐怖', '灵异', '3D 平台', '冒险', '抢先体验']",2025-04-30,2025-04-30,《咒笼：诅咒领域》是一款以日本传说中的超自然存在——妖怪为主题的生存恐怖游戏。支持最多四人的在线合作模式。你们将被囚禁在诅咒领域中，在一个封闭的结界里协力探索，寻求逃脱。且看你是否能忍受诅咒的侵浊，躲避妖怪的追捕，从领域之中逃离。,未知,"TOEI ANIMATION Co.,Ltd"
Resident Evil 0,https://store.steampowered.com/app/339340/Resident_Evil_0/?snr=1_7_7_7000_150_43,339340,,,82.0,,[],['血腥'],2016-01-19,,未知,未知,未知
